Year,State,Light Vehicles, Truck, Bus, Motorcycle
2018,Michigan,3023940,8882,5095522,258487
2018,Minnesota,1976525,20340,3165856,241556
2018,Mississippi,825338,7451,1206447,28262
2018,Missouri,2102216,27165,3215389,153905
2018,Montana,452845,4999,1093927,293567
2018,Nebraska,683020,13540,1209013,55736
2018,Nevada,1073760,4255,1361583,74740
2018,New Hampshire,506959,3045,757353,78962
2018,New Jersey,2754253,25870,3124738,150528
2018,New Mexico,655766,5523,1102580,60348
2018,New York,4712779,82848,6297198,389404
2018,North Carolina,3393781,32296,4595651,188484
2018,North Dakota,240048,3422,617536,38947
2018,Ohio,4603594,41512,5858774,409893
2018,Oklahoma,1296219,2859,2270493,129451
2018,Oregon,1488623,17611,2302881,133760
2018,Pennsylvania,4424183,56086,5874767,372679
2018,Rhode Island,412255,2270,429552,28267
2018,South Carolina,1830186,17322,2493039,116972
2018,South Dakota,358859,2654,787408,120494
2018,Tennessee,2285329,29610,3274809,181126
2018,Texas,8248322,69966,13518871,349082
2018,Utah,937421,6419,1344547,84413
2018,Vermont,218302,1122,369738,30532
2018,Virginia,3267735,34801,4106265,195845
2018,Washington,2964939,23846,3928127,235501
2018,West Virginia (2),560118,3172,1069746,60683
2018,Wisconsin,2087518,14892,3244241,336410
2018,Wyoming,203546,4058,600452,28968
